date,make,model,color,begin,end
2025/11/15,Thor,Base,Black,1021,1031
2025/11/27,Thor,Max,White,1015,1047
2025/11/27,Thor,Max,Black,1033,1053
2025/11/27,Thor,Pro,Black,1012,1061
2025/11/28,Thor,Pro,White,1039,1072
2025/11/29,Thor,Base,Black,1031,1058
2025/11/29,Thor,Pro,Rainbow,1003,1018
2025/11/29,Thor,Pro,Clear Purple,1036,1051
2025/12/01,Thor,Base,Black,1058,1064
2025/12/01,Thor,Pro,Black,1061,1067
2025/12/01,Thor,Pro,Rainbow,1018,1050
2025/12/02,Thor,Max,Black,1053,1056
2025/12/02,Thor,Pro,Clear Purple,1051,1074
2025/12/03,Thor,Max,Black,1056,1067
2025/12/03,Thor,Max,Clear Purple,1052,1058
2025/12/04,Thor,Max,Rainbow,1000,1030
2025/12/05,Thor,Max,Rainbow,1030,1062
